Numero de trade;Instrumento;Cuenta;Estrategia;Mercado pos.;Cant;Precio de entrada;Precio de salida;Tiempo de entrada;Tiempo de salida;Nombre de entrada;Nombre de salida;Ganancias;Con ganancia neto;Comision;MAE;MFE;ETD;Barras
1;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5223,75;5208,75;10/04/2025 11:40:13 a m;10/04/2025 11:46:02 a m;Entry;Stop1;-$ 75,00;-$ 75,00;$ 0,00;$ 75,00;$ 51,25;$ 126,25;0
2;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5190,5;5235,25;10/04/2025 12:21:10 p m;10/04/2025 12:27:13 p m;Entry;Target1;$ 223,75;$ 148,75;$ 0,00;$ 52,50;$ 223,75;$ 0,00;0
3;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5297,75;5299;10/04/2025 2:55:52 p m;10/04/2025 3:01:00 p m;Entry;Cerrar;$ 6,25;$ 155,00;$ 0,00;$ 45,00;$ 106,25;$ 100,00;0
4;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5327,75;5312,75;11/04/2025 9:10:02 a m;11/04/2025 9:11:14 a m;Entry;Stop1;-$ 75,00;$ 80,00;$ 0,00;$ 75,00;$ 13,75;$ 88,75;0
5;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5281;5325,75;11/04/2025 10:30:35 a m;11/04/2025 11:05:32 a m;Entry;Cerrar;$ 223,75;$ 303,75;$ 0,00;$ 8,75;$ 230,00;$ 6,25;0
6;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5326,75;5371,75;11/04/2025 11:10:32 a m;11/04/2025 11:39:08 a m;Entry;Target1;$ 225,00;$ 528,75;$ 0,00;$ 56,25;$ 225,00;$ 0,00;0
7;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5489,75;5461;14/04/2025 9:55:06 a m;14/04/2025 10:07:33 a m;Entry;Cerrar;$ 143,75;$ 672,50;$ 0,00;$ 3,75;$ 148,75;$ 5,00;0
8;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5476,25;5461;14/04/2025 10:00:45 a m;14/04/2025 10:07:33 a m;Entry;Cerrar;$ 76,25;$ 748,75;$ 0,00;$ 17,50;$ 81,25;$ 5,00;0
9;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Short;1;5446,5;5423;14/04/2025 10:27:35 a m;14/04/2025 10:41:13 a m;Entry;Cerrar;$ 117,50;$ 866,25;$ 0,00;$ 28,75;$ 122,50;$ 5,00;0
10;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Short;1;5447;5423;14/04/2025 10:32:53 a m;14/04/2025 10:41:13 a m;Entry;Cerrar;$ 120,00;$ 986,25;$ 0,00;$ 26,25;$ 125,00;$ 5,00;0
11;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Long;1;5415,25;5400;14/04/2025 11:07:09 a m;14/04/2025 11:11:02 a m;Entry;Stop1;-$ 76,25;$ 910,00;$ 0,00;$ 76,25;$ 17,50;$ 93,75;0
12;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5410,5;5422,25;14/04/2025 11:28:17 a m;14/04/2025 11:55:00 a m;Entry;Cerrar;$ 58,75;$ 968,75;$ 0,00;$ 22,50;$ 112,50;$ 53,75;0
13;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5449,25;5466,5;15/04/2025 9:46:18 a m;15/04/2025 10:23:54 a m;Entry;Cerrar;$ 86,25;$ 1.055,00;$ 0,00;$ 36,25;$ 116,25;$ 30,00;0
14;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5462,5;5466,5;15/04/2025 10:00:31 a m;15/04/2025 10:23:54 a m;Entry;Cerrar;$ 20,00;$ 1.075,00;$ 0,00;$ 32,50;$ 50,00;$ 30,00;0
15;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5436,5;5443,75;15/04/2025 12:00:58 p m;15/04/2025 12:40:59 p m;Entry;Cerrar;-$ 36,25;$ 1.038,75;$ 0,00;$ 73,75;$ 55,00;$ 91,25;0
16;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5436,5;5443,75;15/04/2025 12:20:11 p m;15/04/2025 12:40:59 p m;Entry;Cerrar;-$ 36,25;$ 1.002,50;$ 0,00;$ 37,50;$ 55,00;$ 91,25;0
